date,Rp_mvp,Rp_vw,cum_mvp,cum_vw
2014-01-31,-0.0007871261038705725,-0.0346694768148457,-0.0007871261038705502,-0.03466947681484567
2014-03-31,0.0009079901212794192,0.005675374213538533,0.00012014931468229406,-0.029190864856019072
2014-05-30,0.00985728111418633,0.016363914395297847,0.009978614774439176,-0.01330462727434989
2014-06-30,0.004895521100715845,0.011567244617576581,0.0149229863943392,-0.0018912805350014272
2014-07-31,-0.0410747875363695,-0.02318847886522363,-0.026764759637585955,-0.025035903481510968
2014-10-31,0.041154276667265774,0.004460294262060779,0.0132880327066216,-0.02068727671609416
2015-07-31,0.04753348971071352,0.019742276658966572,0.06145314898327103,-0.0013534139973773174
2015-08-31,-0.038497445134368834,-0.06383686467522157,0.020589914617584526,-0.06510388096639874
2015-10-30,0.01811328681317415,0.07547554705307599,0.039076152459685654,0.005457915055459894
2015-11-30,-0.0028360392164606314,-0.005802098631818273,0.036129291742420966,-0.0003758509378342101
2015-12-31,0.020873836572489222,-0.022842818549766348,0.057757285246221146,-0.02321008399282587
2016-02-29,-0.0041532537243586755,-0.008092464026211079,0.05336415086180479,-0.03111472124927972
2016-03-31,0.0550066966173346,0.07070397442453714,0.11130623313583632,0.03738931871982176
2016-10-31,-0.02374628891273544,-0.02058383974467016,0.08491683425326912,0.016035863230460468
2016-12-30,0.022212017463524664,0.03306797193757382,0.10901502592217471,0.04963410864333384
2017-03-31,-0.005279028731738546,0.013814726606724212,0.10316050373640184,0.06413451689133409
2017-07-31,0.02673902270651814,0.022437651257839322,0.13265793749474342,0.08801119607277119
2017-08-31,-0.04287069585520992,0.0026077183387537223,0.08410010354841702,0.09084842282153938
2018-03-30,-0.005780391876441698,-0.017958009667673323,0.07783358011661612,0.07125895629854395
2018-04-30,0.006871077112847181,0.012596564809416675,0.08523945776041364,0.08475313916922667
2018-05-31,0.002274880078586042,0.0016305628447330772,0.08770824738336835,0.08652189733366367
2018-08-31,0.021218711777483378,0.008742115434727953,0.11078801518258752,0.0960203971825142
2018-12-31,-0.06186280881032198,-0.07818106311506251,0.042071548570550066,0.010332357334992048
2019-01-31,0.029919043332062432,0.07639075472898177,0.07324933238734177,0.0875124086389234
2019-03-29,0.03658418007499506,0.014568665077535979,0.11251327922876864,0.1033560126880484
2019-05-31,-0.011827589900768914,-0.060324641374616975,0.09935492840289117,0.036796456914114595
2019-09-30,0.009701021347902876,0.024610614957809036,0.11001979403225004,0.06231265530484853
2019-10-31,-0.010305354457372268,0.021958432803557044,0.09858064660004828,0.08563937636272834
2020-01-31,0.004836534627359744,-0.009759123053471621,0.10389396993827682,0.0750444880971104
2020-07-31,0.06987017439633313,0.048627957679101795,0.18102323413292454,0.1273217059674483
2020-08-31,0.03785941344537015,0.06545592814437183,0.22573608104255127,0.2011115945488442
2020-10-30,-0.025157031794415533,-0.03560865997864107,0.19490019948020154,0.15834162018215103
2020-11-30,0.07456142958644177,0.1287795850144521,0.2839936665665699,0.3075123733341767
2020-12-31,0.04416430213242982,0.039679285629189515,0.34070035079294225,0.3593935302594029
2021-05-31,0.025909694813709833,0.02032749538172509,0.37543748771862107,0.38702659596769795
2021-07-30,0.026754030980805782,0.018716060019392897,0.4122359848772068,0.41298626898632373
2021-12-31,0.07511004751106118,0.05277813531379014,0.5183090967981641,0.4875610494874114
2022-01-31,-0.04428363078552757,-0.04110702384614082,0.45107285733724645,0.4264118419535421
2022-03-31,0.048253935900342576,0.02739617391658374,0.521092833981925,0.465490068852376
2022-10-31,0.06547032874253074,0.08555772935079592,0.6206792818706293,0.5908740715295269
2022-12-30,-0.030429139647159056,-0.0427308799297201,0.5713634056793304,0.5228946225956936
2023-03-31,0.013954303852335051,0.03102954908187859,0.5932906881046198,0.5701493560340558
2023-07-31,0.008115931365080584,0.029142840440765864,0.6062217259738987,0.6159079681851276
2023-08-31,-0.01782485795084298,-0.022494032109245582,0.577591051870856,0.5795596824631855
2024-03-29,0.02530928283064237,0.03641690707180481,0.617518749993746,0.6370823606338167
2024-05-31,0.02182490745314352,0.05033217646918575,0.652820947016084,0.7194802789038293
2024-09-30,-0.005151442313613656,0.014785518163702025,0.6443065352527984,0.7449036857996891
2024-10-31,-0.04469926620047957,-0.022374792105738988,0.5708072397183452,0.7058618285853833
2025-01-31,-0.005897588600715003,0.03065754656896512,0.5615432648474616,0.7581593670354596
2025-03-31,0.01507589204664889,-0.03928952577177859,0.5850849225344736,0.689082119273426
2025-05-30,-0.018405324576255662,0.050273527287513026,0.5559109200542975,0.773998235287569
2025-06-30,-0.007047737492100271,0.043354584095307666,0.5449452683286626,0.850909190964271
2025-07-31,-0.013392672147711927,0.01675561884304283,0.5242543228637782,0.8819223198811532
2025-10-31,-0.015233678566432849,0.02327465906412743,0.5010343224557756,0.925723420261559
